coord,day,delay,description,end_date,from,geometry,hour,id,latitude,length,longitude,to
"{'x': -73.9979064, 'y': 40.7405532}",Wednesday,3,9,2020-02-19 15:04:00+00:00,7th Ave,POINT (-73.99790640000001 40.7405532),15.0,TTL5159066035214005,40.7405532,451,-73.9979064,5th Ave
"{'x': -73.9978501, 'y': 40.7535946}",Wednesday,3,9,2020-02-19 15:19:00+00:00,W 40 St exit [6],POINT (-73.99785009999999 40.7535946),15.0,TTL5159066064004035,40.7535946,669,-73.9978501,7th Ave
"{'x': -73.9999386, 'y': 40.73698}",Wednesday,3,9,2020-02-19 15:03:00+00:00,14th St (5th Ave),POINT (-73.99993859999999 40.73698),15.0,TTL5160797268006009,40.73698,306,-73.9999386,Washington Sq (5th Ave)
"{'x': -73.9969169, 'y': 40.7352905}",Wednesday,1,2,2020-02-19 15:06:00+00:00,6th Ave/Avenue of the Americas (W 18th St),POINT (-73.9969169 40.7352905),15.0,TTL5160220195206001,40.73529050000001,665,-73.99691690000002,3rd Ave (E 18th St)
"{'x': -73.9990014, 'y': 40.7382876}",Wednesday,2,3,2020-02-19 15:03:00+00:00,5th Ave (14th St),POINT (-73.9990014 40.7382876),15.0,TTL5160220173605003,40.7382876,342,-73.99900140000003,2nd Ave (E 14th St)
"{'x': -73.9903718, 'y': 40.7702595}",Wednesday,3,9,2020-02-19 15:07:00+00:00,10th Ave (W 51st St),POINT (-73.99037180000001 40.7702595),15.0,TTL5158489012806002,40.7702595,271,-73.9903718,NY-9A/12th Ave (W 51st St)
"{'x': -73.9871183, 'y': 40.7512282}",Wednesday,1,2,2020-02-19 15:03:00+00:00,34th St (8th Ave),POINT (-73.98711830000001 40.7512282),15.0,TTL5159643122404000,40.7512282,478,-73.98711829999998,W 42nd St (8th Ave)
"{'x': -73.9892523, 'y': 40.7435476}",Wednesday,3,9,2020-02-19 15:03:00+00:00,5th Ave (19th St),POINT (-73.9892523 40.7435476),15.0,TTL5160220209606002,40.7435476,224,-73.98925229999998,6th Ave/Avenue of the Americas (W 19th St)
"{'x': -73.9886032, 'y': 40.7417494}",Wednesday,3,9,2020-02-19 15:12:00+00:00,Broadway,POINT (-73.9886032 40.7417494),15.0,TTL5160220209606001,40.7417494,647,-73.9886032,7th Ave
"{'x': -73.9943014, 'y': 40.7454954}",Wednesday,3,9,2020-02-19 15:07:00+00:00,7th Ave (W 32nd St),POINT (-73.9943014 40.7454954),15.0,TTL5159643129605001,40.7454954,248,-73.99430140000003,6th Ave/Avenue of the Americas/Broadway (W 32nd St)
"{'x': -73.9876154, 'y': 40.7477529}",Wednesday,2,3,2020-02-19 15:04:00+00:00,5th Ave,POINT (-73.9876154 40.7477529),15.0,TTL5159643115214000,40.7477529,399,-73.98761540000002,7th Ave
"{'x': -73.985094, 'y': 40.743803}",Wednesday,2,3,2020-02-19 15:03:00+00:00,W 23rd St (6th Ave),POINT (-73.985094 40.743803),15.0,TTL5159643122406002,40.743803,314,-73.98509399999998,W 34th St (6th Ave)
"{'x': -73.993539, 'y': 40.7568041}",Wednesday,3,9,2020-02-19 15:04:00+00:00,9th Ave,POINT (-73.993539 40.7568041),15.0,TTL5159066064006010,40.7568041,249,-73.993539,8th Ave
"{'x': -73.993422, 'y': 40.7658259}",Wednesday,2,3,2020-02-19 15:16:00+00:00,11th Ave (W 57th St),POINT (-73.993422 40.7658259),15.0,TTL5159066092812014,40.7658259,451,-73.993422,9th Ave (W 57th St)
"{'x': -73.9928556, 'y': 40.7581429}",Wednesday,2,3,2020-02-19 15:15:00+00:00,9th Ave (W 48th St),POINT (-73.9928556 40.7581429),15.0,TTL5159643158414002,40.7581429,486,-73.9928556,7th Ave/Times Sq (W 48th St)
"{'x': -73.9923886, 'y': 40.7628638}",Wednesday,2,3,2020-02-19 15:40:00+00:00,W 56 St exit [7],POINT (-73.9923886 40.7628638),15.0,TTL5159066064014000,40.7628638,1705,-73.9923886,Park Ave
"{'x': -73.993786, 'y': 40.7563296}",Wednesday,2,3,2020-02-19 15:03:00+00:00,W 42nd St (7th Ave),POINT (-73.993786 40.7563296),15.0,TTL5159643136804076,40.7563296,312,-73.993786,W 34th St (7th Ave)
"{'x': -73.9853153, 'y': 40.7532406}",Wednesday,4,5,2020-02-26 04:59:00+00:00,Avenue of the Americas,POINT (-73.9853153 40.7532406),4.0,TTR5159643144007025,40.75324060000001,133,-73.9853153,7th Ave
"{'x': -73.9911194, 'y': 40.765724}",Wednesday,1,2,2020-02-19 15:16:00+00:00,W 59th St exit [8],POINT (-73.9911194 40.765724),15.0,TTL5159643158404021,40.765724,548,-73.9911194,8th Ave
"{'x': -73.9851013, 'y': 40.7540311}",Wednesday,2,3,2020-02-19 15:04:00+00:00,Broadway (W 34th St),POINT (-73.9851013 40.7540311),15.0,TTL5159643144001011,40.7540311,245,-73.9851013,7th Ave/Fashion Ave (W 34th St)
"{'x': -73.9848733, 'y': 40.7548091}",Wednesday,2,3,2020-02-19 15:11:00+00:00,Broadway,POINT (-73.9848733 40.7548091),15.0,TTL5159643144005002,40.7548091,489,-73.9848733,8th Ave
"{'x': -73.9905244, 'y': 40.758795}",Monday,0,13,2020-02-24 04:59:59+00:00,9th Ave (W 50th St),POINT (-73.9905244 40.758795),4.0,TTR5158488969606003,40.758795,131,-73.99052440000001,8th Ave (W 50th St)
"{'x': -73.9894094, 'y': 40.7418186}",Wednesday,2,3,2020-02-19 15:11:00+00:00,5th Ave (30th St),POINT (-73.9894094 40.7418186),15.0,TTL5160220195206016,40.7418186,625,-73.9894094,3rd Ave (E 30th St)
"{'x': -73.9893915, 'y': 40.7517121}",Wednesday,1,2,2020-02-19 15:06:00+00:00,7th Ave (W 42nd St),POINT (-73.9893915 40.7517121),15.0,TTL5159643129612010,40.751712100000006,533,-73.98939150000002,Park Ave (E 42nd St)
"{'x': -73.9829298, 'y': 40.7506176}",Wednesday,1,2,2020-02-19 15:03:00+00:00,Park Ave S (E 31st St),POINT (-73.98292979999999 40.7506176),15.0,TTL5159643144006001,40.75061760000001,1131,-73.9829298,NY-495/Lincoln Tunnel Expy/Dyer Ave (W 31st St)
"{'x': -73.982422, 'y': 40.7537656}",Wednesday,2,3,2020-02-19 15:03:00+00:00,5th Ave / E 35th St,POINT (-73.982422 40.7537656),15.0,TTL5160220238406004,40.7537656,184,-73.982422,Broadway
"{'x': -73.987984, 'y': 40.7494279}",Wednesday,1,2,2020-02-19 15:19:00+00:00,Avenue of the Americas,POINT (-73.987984 40.7494279),15.0,TTL5159643129613001,40.7494279,465,-73.987984,Madison Ave
"{'x': -73.9810591, 'y': 40.7598048}",Wednesday,2,3,2020-02-19 15:04:00+00:00,6th Ave/Avenue of the Americas (W 43rd St),POINT (-73.9810591 40.7598048),15.0,TTL5159643172806010,40.7598048,229,-73.9810591,Broadway/7th Ave/Times Sq (W 43rd St)
"{'x': -73.9859139, 'y': 40.7519261}",Wednesday,1,2,2020-02-19 15:03:00+00:00,Avenue of the Americas,POINT (-73.9859139 40.7519261),15.0,TTL5159643158406009,40.7519261,440,-73.98591390000001,Madison Ave
"{'x': -73.9848336, 'y': 40.7547653}",Wednesday,1,2,2020-02-19 15:15:00+00:00,7th Ave/Times Sq (W 48th St),POINT (-73.9848336 40.7547653),15.0,TTL5159643158414000,40.7547653,358,-73.98483359999999,5th Ave (48th St)
